# --- TEST-START ---
# CONFIG_JSON: {"name":"Custom 2D Slice","mode":"custom","polarization":"vertical","sweep":{"start_ghz":2.0,"stop_ghz":18.0,"points":51,"format":"MAG","power_dbm":0.0},"grid":{"phi_step_deg":null,"theta_step_deg":null,"custom_axis":"theta","custom_angle_deg":90.0,"custom_step_deg":1.0},"plot_options":{"title":"Live Pattern","grid":false,"y_limits":[-55.0,-10.0],"do_not_modify_vna":false},"created_local":"2026-04-15 14:00:05","created_utc":"2026-04-15T18:00:05.228117Z"}
# META: vna=VNAController
# META: positioner=SerialController
# META: polarization=vertical
Phi (deg),Theta (deg),Frequency (GHz),Magnitude (dB),Phase (deg)
2.0,90.0,5.52,-17.87,112.92173848641306
2.0,90.0,5.84,-18.74,-89.2010045944784
2.0,90.0,6.16,-18.93,56.04417266882935
2.0,90.0,6.48,-20.78,-138.6853733168891
2.0,90.0,6.8,-19.75,18.82701889381091
2.0,90.0,7.12,-20.58,167.98603957823045
2.0,90.0,7.44,-20.17,-43.68596052629862
2.0,90.0,7.76,-21.03,102.31430768692988
2.0,90.0,8.08,-20.4,-101.22741543770597
2.0,90.0,8.4,-20.92,42.462175205123046
2.0,90.0,8.72,-22.43,-161.51961238621922
2.0,90.0,9.04,-22.59,-9.056489818103298
2.0,90.0,9.36,-22.97,139.19338986236477
2.0,90.0,9.68,-25.07,-68.47900217842846
2.0,90.0,10.0,-24.74,81.9949690017945
2.0,90.0,10.32,-25.07,-135.6670353644981
2.0,90.0,10.64,-25.77,12.574517804429219
2.0,90.0,10.96,-25.16,159.95879217082125
2.0,90.0,11.28,-25.69,-65.08272114394381
2.0,90.0,11.6,-26.74,82.87754355742818
2.0,90.0,11.92,-26.86,-134.01180718633023
2.0,90.0,12.24,-27.97,1.4216138301225298
2.0,90.0,12.56,-29.26,137.90948128041526
2.0,90.0,12.88,-34.19,-72.82647232682365
2.0,90.0,13.2,-31.8,78.29584285680976
2.0,90.0,13.52,-32.2,-149.75557793574484
2.0,90.0,13.84,-32.12,-8.081434774582002
2.0,90.0,14.16,-30.31,114.16214532266115
2.0,90.0,14.48,-32.58,103.50699919980158
2.0,90.0,14.8,-27.87,54.97243025401509
2.0,90.0,15.12,-26.78,156.54038064706515
2.0,90.0,15.44,-27.07,-89.95404088310444
2.0,90.0,15.76,-27.62,19.770574599202565
2.0,90.0,16.08,-27.12,132.39365738850893
2.0,90.0,16.4,-29.98,-118.65082781028867
2.0,90.0,16.72,-30.45,-31.05370776483011
2.0,90.0,17.04,-32.92,69.21350968400971
2.0,90.0,17.36,-37.81,170.51155395620913
2.0,90.0,17.68,-42.26,-69.04999083944665
2.0,90.0,18.0,-41.73,59.56426534882581
3.0,90.0,2.0,-14.27,81.28802059160985
3.0,90.0,2.32,-16.34,157.3220510370294
3.0,90.0,2.64,-17.52,-77.40788389599565
3.0,90.0,2.96,-15.93,42.969913489153946
3.0,90.0,3.28,-19.17,175.34414070712245
3.0,90.0,3.6,-17.44,-48.34468215710685
3.0,90.0,3.92,-17.08,112.3505513489277
3.0,90.0,4.24,-17.74,-104.1201766281056
3.0,90.0,4.56,-16.44,28.914148065609712
3.0,90.0,4.88,-15.97,179.27931937697542
3.0,90.0,5.2,-17.83,-41.9383898219919
3.0,90.0,5.52,-17.91,112.45087922287578
3.0,90.0,5.84,-18.77,-89.92443345384244
3.0,90.0,6.16,-18.95,56.10170144977383
3.0,90.0,6.48,-20.86,-139.65375744077562
3.0,90.0,6.8,-19.83,17.945818126808184
3.0,90.0,7.12,-20.58,167.0284777966402
3.0,90.0,7.44,-20.3,-44.32467051414941
3.0,90.0,7.76,-21.11,101.75373320583509
3.0,90.0,8.08,-20.5,-101.61691218513502
3.0,90.0,8.4,-20.98,41.56647954828509
3.0,90.0,8.72,-22.72,-162.46630896763114
3.0,90.0,9.04,-22.74,-9.94058835964226
3.0,90.0,9.36,-23.08,138.27737967698118
3.0,90.0,9.68,-24.97,-69.19561988144808
3.0,90.0,10.0,-24.67,80.16113066000783
3.0,90.0,10.32,-25.16,-139.07854327710086
3.0,90.0,10.64,-25.8,10.894025334867854
3.0,90.0,10.96,-25.27,157.11648214356103
3.0,90.0,11.28,-25.95,-68.48479141327066
3.0,90.0,11.6,-27.15,80.62109012023352
3.0,90.0,11.92,-27.24,-136.33894540979932
3.0,90.0,12.24,-28.36,-0.00498081220959447
3.0,90.0,12.56,-29.71,136.98692154513196
3.0,90.0,12.88,-34.54,-74.71964290128906
3.0,90.0,13.2,-32.16,77.15695844687232
3.0,90.0,13.52,-32.6,-151.61594444559972
3.0,90.0,13.84,-32.44,-8.607351257783094
3.0,90.0,14.16,-30.65,112.97796005497075
3.0,90.0,14.48,-33.18,101.95113115863124
3.0,90.0,14.8,-28.33,54.95744862256634
3.0,90.0,15.12,-27.36,153.64429201950307
3.0,90.0,15.44,-27.64,-91.74673324604959
3.0,90.0,15.76,-27.88,18.435984496863
3.0,90.0,16.08,-27.6,131.8184185269901
3.0,90.0,16.4,-30.34,-120.06871716025383
3.0,90.0,16.72,-31.3,-30.8502041941965
3.0,90.0,17.04,-33.84,69.87318479790535
3.0,90.0,17.36,-38.61,171.7463304230682
3.0,90.0,17.68,-43.1,-65.71086099989418
3.0,90.0,18.0,-42.32,64.5010445803594
4.0,90.0,2.0,-14.33,80.92503733790963
4.0,90.0,2.32,-16.39,157.09083765317092
4.0,90.0,2.64,-17.56,-77.38465547052607
4.0,90.0,2.96,-15.92,43.3588973761762
4.0,90.0,3.28,-19.19,174.69264729037542
4.0,90.0,3.6,-17.55,-48.4869651477009
4.0,90.0,3.92,-17.12,111.99612962589372
4.0,90.0,4.24,-17.81,-105.17679638921729
4.0,90.0,4.56,-16.49,27.777504861626838
4.0,90.0,4.88,-16.07,178.0630905653689
4.0,90.0,5.2,-17.93,-43.33388460110168
4.0,90.0,5.52,-18.03,111.0084021315496
4.0,90.0,5.84,-18.89,-91.2335118209579
4.0,90.0,6.16,-19.01,56.18174553211189
4.0,90.0,6.48,-20.94,-141.15655615666074
4.0,90.0,6.8,-19.93,16.17047800828818
4.0,90.0,7.12,-20.69,165.28636893926756
4.0,90.0,7.44,-20.49,-46.64692069633567
4.0,90.0,7.76,-21.25,99.87979501061592
4.0,90.0,8.08,-20.72,-103.3225680271261
4.0,90.0,8.4,-21.21,39.82859055457442
4.0,90.0,8.72,-22.86,-165.27504857209587
4.0,90.0,9.04,-22.9,-12.219270883476872
4.0,90.0,9.36,-23.33,135.77490014241997
4.0,90.0,9.68,-25.3,-70.94469394532955
4.0,90.0,10.0,-24.98,78.80281118718291
4.0,90.0,10.32,-25.45,-140.36732672323927
4.0,90.0,10.64,-26.22,9.407246387404577
4.0,90.0,10.96,-25.69,155.89882788135824
4.0,90.0,11.28,-26.34,-69.52061924546183
4.0,90.0,11.6,-27.5,79.49759697969057
4.0,90.0,11.92,-27.68,-136.70932545349754
4.0,90.0,12.24,-28.81,-1.1258528922426507
4.0,90.0,12.56,-30.14,136.28103652680164
4.0,90.0,12.88,-34.85,-73.61471397107064
4.0,90.0,13.2,-32.39,75.83035295963954
4.0,90.0,13.52,-32.8,-152.78917675480804
4.0,90.0,13.84,-32.93,-10.28335202354542
4.0,90.0,14.16,-31.06,109.77594934701352
4.0,90.0,14.48,-33.53,99.03614215590775
4.0,90.0,14.8,-28.87,52.76198559808497
4.0,90.0,15.12,-27.92,151.3799239308543
4.0,90.0,15.44,-28.37,-94.00439002538126
4.0,90.0,15.76,-29.04,17.34841620791866
4.0,90.0,16.08,-28.68,130.4416659549357
4.0,90.0,16.4,-31.3,-120.29957428339453
4.0,90.0,16.72,-32.26,-32.36270918423988
4.0,90.0,17.04,-35.16,68.49834868008261
4.0,90.0,17.36,-39.97,174.14646533273725
4.0,90.0,17.68,-44.4,-61.56525050226262
4.0,90.0,18.0,-43.39,69.56258505042207
5.0,90.0,2.0,-14.39,80.20915958692096
5.0,90.0,2.32,-16.45,156.72598051810846
5.0,90.0,2.64,-17.58,-77.75755683944197
5.0,90.0,2.96,-15.89,43.26140526147598
5.0,90.0,3.28,-19.2,173.7430956560391
5.0,90.0,3.6,-17.64,-48.5031570588067
5.0,90.0,3.92,-17.14,110.67592656063084
5.0,90.0,4.24,-17.93,-106.9175397249061
5.0,90.0,4.56,-16.56,26.6640468354233
5.0,90.0,4.88,-16.14,176.6681699763268
5.0,90.0,5.2,-18.1,-45.48425963463916
5.0,90.0,5.52,-18.25,109.57554649269491
5.0,90.0,5.84,-19.09,-91.97575094305574
5.0,90.0,6.16,-19.16,55.15015129870598
5.0,90.0,6.48,-21.11,-142.48437319332336
5.0,90.0,6.8,-20.15,14.111147359030523
5.0,90.0,7.12,-20.95,163.70369620224184
5.0,90.0,7.44,-20.67,-48.387670680093635
5.0,90.0,7.76,-21.54,98.16042022214474
5.0,90.0,8.08,-20.95,-105.64261885365003
5.0,90.0,8.4,-21.46,37.948517071782675
5.0,90.0,8.72,-22.95,-167.37327214137275
5.0,90.0,9.04,-23.24,-14.207287189479294
5.0,90.0,9.36,-23.63,133.563432989567
5.0,90.0,9.68,-25.82,-73.7897987454695
5.0,90.0,10.0,-25.62,76.97829816944339
5.0,90.0,10.32,-26.06,-140.60889227020226
5.0,90.0,10.64,-26.68,9.298508221297363
5.0,90.0,10.96,-26.11,155.78405511716485
5.0,90.0,11.28,-26.64,-70.00429455555192
5.0,90.0,11.6,-27.79,78.0169946794158
5.0,90.0,11.92,-28.14,-136.99490548867215
5.0,90.0,12.24,-29.23,-2.8145996184923336
5.0,90.0,12.56,-30.53,134.48110110609403
5.0,90.0,12.88,-35.24,-74.78681451672202
5.0,90.0,13.2,-32.5,74.09580541947095
5.0,90.0,13.52,-33.1,-155.7118226920013
5.0,90.0,13.84,-33.4,-14.083829230390194
5.0,90.0,14.16,-31.56,106.6593165746983
5.0,90.0,14.48,-34.22,95.14350560010966
5.0,90.0,14.8,-29.68,48.14135864647562
5.0,90.0,15.12,-28.88,147.1580285935751
5.0,90.0,15.44,-29.49,-97.25297102923095
5.0,90.0,15.76,-30.06,14.56994086394738
5.0,90.0,16.08,-29.86,129.05587249051686
5.0,90.0,16.4,-32.75,-120.02458679133562
5.0,90.0,16.72,-33.84,-32.34800079004258
5.0,90.0,17.04,-36.83,71.16854922326475
5.0,90.0,17.36,-41.71,178.1626845683786
5.0,90.0,17.68,-46.09,-52.766862021967626
5.0,90.0,18.0,-44.31,77.94576263018888
6.0,90.0,2.0,-14.47,79.4648044529059
6.0,90.0,2.32,-16.5,156.0137120039468
6.0,90.0,2.64,-17.62,-78.37307477570799
6.0,90.0,2.96,-15.9,43.22328449326352
6.0,90.0,3.28,-19.27,172.90608388572352
6.0,90.0,3.6,-17.65,-52.040478013815026
6.0,90.0,3.92,-17.18,109.43073137110007
6.0,90.0,4.24,-17.98,-108.46250606468135
6.0,90.0,4.56,-16.64,24.971006980337204
6.0,90.0,4.88,-16.23,175.18299543990443
6.0,90.0,5.2,-18.24,-47.30767628542456
6.0,90.0,5.52,-18.36,107.99128802411951
6.0,90.0,5.84,-19.25,-93.46109045030336
6.0,90.0,6.16,-19.32,53.56638453180541
6.0,90.0,6.48,-21.27,-144.64866771012535
6.0,90.0,6.8,-20.4,11.874563538547413
6.0,90.0,7.12,-21.18,161.07036542565203
6.0,90.0,7.44,-20.81,-51.015794806142324
6.0,90.0,7.76,-21.81,95.15976069344676
6.0,90.0,8.08,-21.18,-108.51830719850376
6.0,90.0,8.4,-21.69,35.38642106603786
6.0,90.0,8.72,-23.33,-170.28332332865185
6.0,90.0,9.04,-23.62,-16.858849758972465
6.0,90.0,9.36,-24.02,130.33272243304498
6.0,90.0,9.68,-26.17,-76.64929671267473
6.0,90.0,10.0,-26.09,73.95281623990387
6.0,90.0,10.32,-26.52,-143.84150022898385
6.0,90.0,10.64,-27.06,6.325665766816565
6.0,90.0,10.96,-26.62,153.17324045403305
6.0,90.0,11.28,-27.25,-72.73617059805699
6.0,90.0,11.6,-28.46,75.18067529092708
6.0,90.0,11.92,-28.81,-141.516740123791
6.0,90.0,12.24,-29.94,-4.9444092118541265
6.0,90.0,12.56,-31.27,133.12774296540059
6.0,90.0,12.88,-35.65,-75.41150111100013
6.0,90.0,13.2,-32.92,73.18060207158938
6.0,90.0,13.52,-33.65,-157.89868535181446
6.0,90.0,13.84,-33.97,-16.735864806710893
6.0,90.0,14.16,-32.32,103.23368303607678
6.0,90.0,14.48,-34.93,91.09227054808669
6.0,90.0,14.8,-30.72,44.315135454127706
6.0,90.0,15.12,-30.1,144.38946507630226
6.0,90.0,15.44,-30.74,-98.8744189928021
6.0,90.0,15.76,-31.55,13.037253755473039
6.0,90.0,16.08,-31.39,128.64187438928204
6.0,90.0,16.4,-34.43,-120.43690599910776
6.0,90.0,16.72,-35.72,-29.322934841363395
6.0,90.0,17.04,-38.48,76.37556133280303
6.0,90.0,17.36,-43.61,-175.70342857731342
6.0,90.0,17.68,-47.63,-41.319644771557385
6.0,90.0,18.0,-44.98,94.07996350700071
7.0,90.0,2.0,-14.55,78.5537474001336
7.0,90.0,2.32,-16.58,155.11902569478806
7.0,90.0,2.64,-17.68,-79.37003813158891
7.0,90.0,2.96,-15.93,42.96814352518457
7.0,90.0,3.28,-19.3,171.95622883911375
7.0,90.0,3.6,-17.7,-53.34728028080071
7.0,90.0,3.92,-17.21,108.13133922121139
7.0,90.0,4.24,-18.01,-110.08880739115851
7.0,90.0,4.56,-16.76,23.23677899749762
7.0,90.0,4.88,-16.37,173.61925525271974
7.0,90.0,5.2,-18.31,-48.90912595537177
7.0,90.0,5.52,-18.42,106.12979083079877
7.0,90.0,5.84,-19.38,-95.63373362965565
7.0,90.0,6.16,-19.54,50.58243346483035
7.0,90.0,6.48,-21.52,-147.32977645020267
7.0,90.0,6.8,-20.65,9.403012844587838
7.0,90.0,7.12,-21.39,158.2193488077352
7.0,90.0,7.44,-21.08,-53.887185961573515
7.0,90.0,7.76,-21.99,92.35105847807026
7.0,90.0,8.08,-21.4,-111.03966839906819
7.0,90.0,8.4,-22.04,32.87865375915247
7.0,90.0,8.72,-23.77,-173.55208625822033
7.0,90.0,9.04,-24.01,-19.905200107062587
7.0,90.0,9.36,-24.43,126.68503388051731
7.0,90.0,9.68,-26.63,-79.77864442475297
7.0,90.0,10.0,-26.66,70.64955020226213
7.0,90.0,10.32,-27.0,-147.47993988536598
7.0,90.0,10.64,-27.57,2.678364988391198
7.0,90.0,10.96,-27.3,149.49508449238147
7.0,90.0,11.28,-27.98,-76.440545053564
7.0,90.0,11.6,-29.31,71.88721329260149
7.0,90.0,11.92,-29.75,-144.3533720905685
7.0,90.0,12.24,-30.85,-7.123973140166141
7.0,90.0,12.56,-32.15,131.79023826223155
7.0,90.0,12.88,-36.29,-76.95550793323267
7.0,90.0,13.2,-33.48,71.5141210339855
7.0,90.0,13.52,-34.29,-159.95079732204348
7.0,90.0,13.84,-34.76,-19.62380868919211
7.0,90.0,14.16,-33.11,99.67699099059107
7.0,90.0,14.48,-35.93,88.20918403138513
7.0,90.0,14.8,-31.92,40.17535900191512
7.0,90.0,15.12,-31.37,141.08821208477102
7.0,90.0,15.44,-32.22,-100.90888229545826
7.0,90.0,15.76,-33.28,12.617125957506358
7.0,90.0,16.08,-33.3,129.03149299285886
7.0,90.0,16.4,-36.6,-119.17681582194885
7.0,90.0,16.72,-37.89,-24.8138144492746
7.0,90.0,17.04,-40.7,85.67648132606332
7.0,90.0,17.36,-45.0,-157.83175925757428
7.0,90.0,17.68,-47.81,-24.8616203213068
7.0,90.0,18.0,-45.19,106.40647264496907
8.0,90.0,2.0,-14.65,77.58445856730462
8.0,90.0,2.32,-16.66,154.0800883882757
8.0,90.0,2.64,-17.72,-80.34369528092908
8.0,90.0,2.96,-15.97,42.50814916197766
8.0,90.0,3.28,-19.41,171.23283892387803
8.0,90.0,3.6,-17.79,-54.598846831615134
8.0,90.0,3.92,-17.31,106.75467428381947
8.0,90.0,4.24,-18.1,-111.80715301576377
8.0,90.0,4.56,-16.89,21.08371104058549
8.0,90.0,4.88,-16.55,171.84013714719762
8.0,90.0,5.2,-18.42,-49.1583785636729
8.0,90.0,5.52,-18.53,104.1496346276512
8.0,90.0,5.84,-19.54,-97.84618959320291
8.0,90.0,6.16,-19.76,48.949104889890606
8.0,90.0,6.48,-21.76,-149.87876748476282
8.0,90.0,6.8,-20.89,6.634327748919025
8.0,90.0,7.12,-21.6,155.57146880030396
8.0,90.0,7.44,-21.34,-56.69122984451308
8.0,90.0,7.76,-22.22,90.2793819485979
8.0,90.0,8.08,-21.71,-113.48562082365824
8.0,90.0,8.4,-22.51,29.350045420844342
8.0,90.0,8.72,-24.21,-176.29118476579117
8.0,90.0,9.04,-24.46,-22.56637411775162
8.0,90.0,9.36,-24.95,123.69774225125992
8.0,90.0,9.68,-27.11,-82.60256679149238
8.0,90.0,10.0,-27.1,67.24258125542009
8.0,90.0,10.32,-27.42,-151.43701053715148
8.0,90.0,10.64,-28.2,-1.3550989399853295
8.0,90.0,10.96,-28.15,142.89431048512236
8.0,90.0,11.28,-29.01,-80.27287452782139
8.0,90.0,11.6,-30.38,67.88648272129743
8.0,90.0,11.92,-30.72,-147.80933489014006
8.0,90.0,12.24,-31.83,-9.336299372784186
8.0,90.0,12.56,-33.12,130.9194415013541
8.0,90.0,12.88,-37.08,-76.87761526289223
8.0,90.0,13.2,-34.11,69.2820419458282
8.0,90.0,13.52,-35.01,-163.22822992660298
8.0,90.0,13.84,-35.66,-24.07989317117079
8.0,90.0,14.16,-34.04,94.45590282824314
8.0,90.0,14.48,-37.16,82.9180418676495
8.0,90.0,14.8,-33.13,35.983329836820324
8.0,90.0,15.12,-32.9,136.8670308224871
8.0,90.0,15.44,-34.03,-103.23826517512258
8.0,90.0,15.76,-35.21,11.805784856059732
8.0,90.0,16.08,-35.55,131.00022029021972
8.0,90.0,16.4,-38.88,-115.06491535501671
8.0,90.0,16.72,-40.42,-14.466668428458204
8.0,90.0,17.04,-42.56,101.38050465822158
8.0,90.0,17.36,-45.89,-141.4764803248556
8.0,90.0,17.68,-47.4,-11.19880861809426
8.0,90.0,18.0,-44.48,113.12020440523025
9.0,90.0,2.0,-14.73,76.43250850559282
9.0,90.0,2.32,-16.71,152.92284509550194
9.0,90.0,2.64,-17.76,-81.5484778038437
9.0,90.0,2.96,-15.98,41.77998394801956
9.0,90.0,3.28,-19.46,170.3514352963178
9.0,90.0,3.6,-17.88,-55.94472986175515
9.0,90.0,3.92,-17.39,105.12357258979247
9.0,90.0,4.24,-18.23,-114.26002097561117
9.0,90.0,4.56,-17.05,18.807419706034793
9.0,90.0,4.88,-16.75,169.73323730839678
9.0,90.0,5.2,-18.57,-49.31464119777991
9.0,90.0,5.52,-18.71,101.61239404952904
9.0,90.0,5.84,-19.74,-100.62952237412755
9.0,90.0,6.16,-19.97,45.95987686966861
9.0,90.0,6.48,-22.01,-152.85614745460126
9.0,90.0,6.8,-21.17,3.4525875513423743
9.0,90.0,7.12,-21.95,152.65250861908865
9.0,90.0,7.44,-21.65,-60.2109918023062
9.0,90.0,7.76,-22.54,87.71050078197437
9.0,90.0,8.08,-22.11,-116.91184222339136
9.0,90.0,8.4,-22.93,25.33687513821773
9.0,90.0,8.72,-24.79,179.83528862587335
9.0,90.0,9.04,-25.04,-26.539870940027317
9.0,90.0,9.36,-25.57,119.92536739831107
9.0,90.0,9.68,-27.78,-86.3113494597107
9.0,90.0,10.0,-27.75,63.12941822203571
9.0,90.0,10.32,-28.08,-155.66784598607236
9.0,90.0,10.64,-28.92,-5.277872663509758
9.0,90.0,10.96,-28.98,141.61766986615328
9.0,90.0,11.28,-29.97,-84.1330423447305
9.0,90.0,11.6,-31.37,63.8690945540446
9.0,90.0,11.92,-31.74,-150.42879168382512
9.0,90.0,12.24,-32.84,-10.231374353026949
9.0,90.0,12.56,-34.14,130.49499092286567
9.0,90.0,12.88,-37.77,-76.90813369638553
9.0,90.0,13.2,-34.79,66.58132746432224
9.0,90.0,13.52,-35.91,-166.14539815793248
9.0,90.0,13.84,-36.61,-27.802576139317274
9.0,90.0,14.16,-35.09,89.6687682051393
9.0,90.0,14.48,-38.34,77.89343138619644
9.0,90.0,14.8,-34.86,31.463329350118073
9.0,90.0,15.12,-34.8,133.68771904574334
9.0,90.0,15.44,-36.29,-104.41432093042427
9.0,90.0,15.76,-37.7,13.474201803505045
9.0,90.0,16.08,-38.16,135.03243880758518
9.0,90.0,16.4,-41.24,-105.99438802095364
9.0,90.0,16.72,-41.81,-1.3438711397598464
9.0,90.0,17.04,-42.8,114.2617460619204
9.0,90.0,17.36,-45.38,-129.82610725836875
9.0,90.0,17.68,-46.78,-6.20398212502194
9.0,90.0,18.0,-43.86,118.68299008452412
10.0,90.0,2.0,-14.82,75.15042460710453
10.0,90.0,2.32,-16.8,151.45139129468703
10.0,90.0,2.64,-17.81,-82.86870132252933
10.0,90.0,2.96,-15.99,40.81539507360641
10.0,90.0,3.28,-19.56,169.1494397053735
10.0,90.0,3.6,-18.02,-57.24338528690463
10.0,90.0,3.92,-17.5,103.33960110405272
10.0,90.0,4.24,-18.41,-116.92517333484696
10.0,90.0,4.56,-17.2,16.426271653464088
10.0,90.0,4.88,-16.93,166.9080088876746
10.0,90.0,5.2,-18.62,-55.06100132037354
10.0,90.0,5.52,-18.92,98.77635501205165
10.0,90.0,5.84,-19.96,-103.67783298138615
