# --- TEST-START ---
# CONFIG_JSON: {"name":"Custom 2D Slice","mode":"custom","polarization":"vertical","sweep":{"start_ghz":2.0,"stop_ghz":18.0,"points":51,"format":"MAG","power_dbm":0.0},"grid":{"phi_step_deg":null,"theta_step_deg":null,"custom_axis":"theta","custom_angle_deg":90.0,"custom_step_deg":1.0},"plot_options":{"title":"Live Pattern","grid":false,"y_limits":[-55.0,-15.0],"do_not_modify_vna":false},"created_local":"2026-04-15 14:29:37","created_utc":"2026-04-15T18:29:37.172108Z"}
# META: vna=VNAController
# META: positioner=SerialController
# META: polarization=vertical
Phi (deg),Theta (deg),Frequency (GHz),Magnitude (dB),Phase (deg)
0.0,90.0,13.52,-32.59,-128.222133540295
0.0,90.0,13.84,-32.6,-44.54988103405854
0.0,90.0,14.16,-30.68,18.61934763404857
0.0,90.0,14.48,-32.9,-51.03549904941668
0.0,90.0,14.8,-27.97,-156.11850915163
0.0,90.0,15.12,-26.72,-116.68781639095982
0.0,90.0,15.44,-27.01,-61.993256040169854
0.0,90.0,15.76,-27.67,-10.950909652554502
0.0,90.0,16.08,-27.24,42.57883811412599
0.0,90.0,16.4,-29.85,92.66223410849419
0.0,90.0,16.72,-30.55,120.94845053312474
0.0,90.0,17.04,-32.86,161.0782526084281
0.0,90.0,17.36,-37.53,-156.19091484625682
0.0,90.0,17.68,-42.05,-93.39551089362767
0.0,90.0,18.0,-41.5,-29.26389144726686
1.0,90.0,2.0,-14.3,73.78222215671401
1.0,90.0,2.32,-16.43,88.19128627468706
1.0,90.0,2.64,-18.28,159.38215303827874
1.0,90.0,2.96,-17.18,-142.26642491068745
1.0,90.0,3.28,-19.58,-70.85629993928397
1.0,90.0,3.6,-18.06,6.661584305836007
1.0,90.0,3.92,-17.71,107.36479557893104
1.0,90.0,4.24,-18.46,-169.29970290266323
1.0,90.0,4.56,-16.92,-91.47592094623754
1.0,90.0,4.88,-16.31,1.0198775240079683
1.0,90.0,5.2,-18.07,78.00104250965202
1.0,90.0,5.52,-18.04,174.90205302335698
1.0,90.0,5.84,-19.18,-86.12245285488358
1.0,90.0,6.16,-19.46,1.3557566270794468
1.0,90.0,6.48,-21.39,105.25434904041211
1.0,90.0,6.8,-20.05,-157.55505332033823
1.0,90.0,7.12,-20.74,-66.97581633216856
1.0,90.0,7.44,-20.5,23.15355651029142
1.0,90.0,7.76,-21.49,108.78123382594175
1.0,90.0,8.08,-20.46,-153.64950081338273
1.0,90.0,8.4,-21.26,-67.8466559148961
1.0,90.0,8.72,-22.86,26.66286601943998
1.0,90.0,9.04,-22.95,117.92122312578745
1.0,90.0,9.36,-23.81,-149.21605385712434
1.0,90.0,9.68,-25.68,-54.483925116025546
1.0,90.0,10.0,-24.95,35.08439358119855
1.0,90.0,10.32,-25.18,117.99065526040364
1.0,90.0,10.64,-25.82,-151.52970310395955
1.0,90.0,10.96,-25.25,-64.64125003310902
1.0,90.0,11.28,-25.76,9.796752196663558
1.0,90.0,11.6,-26.87,97.47127747263296
1.0,90.0,11.92,-27.0,-179.45523621081685
1.0,90.0,12.24,-28.17,-102.56414944071506
1.0,90.0,12.56,-29.36,-23.37389312119927
1.0,90.0,12.88,-34.36,54.663079840726475
1.0,90.0,13.2,-32.2,158.98452575275775
1.0,90.0,13.52,-32.52,-129.7059170026957
1.0,90.0,13.84,-32.62,-46.21004390489327
1.0,90.0,14.16,-30.64,16.90031949050239
1.0,90.0,14.48,-32.92,-51.62408306573767
1.0,90.0,14.8,-28.03,-157.18538684348454
1.0,90.0,15.12,-26.75,-118.07707318391849
1.0,90.0,15.44,-27.17,-62.33513293859044
1.0,90.0,15.76,-27.72,-11.920539192027485
1.0,90.0,16.08,-27.25,41.87082347850107
1.0,90.0,16.4,-29.91,92.92627108129216
1.0,90.0,16.72,-30.54,121.08715615410246
1.0,90.0,17.04,-32.84,160.58964822788457
1.0,90.0,17.36,-37.68,-156.294612060359
1.0,90.0,17.68,-42.08,-94.06655460707275
1.0,90.0,18.0,-41.48,-28.51604355917317
2.0,90.0,2.0,-14.28,73.77358565970462
2.0,90.0,2.32,-16.45,88.19509568168708
2.0,90.0,2.64,-18.31,159.26266273560293
2.0,90.0,2.96,-17.1,-142.27595570380169
2.0,90.0,3.28,-19.53,-70.97120640067992
2.0,90.0,3.6,-18.16,6.893173320191522
2.0,90.0,3.92,-17.74,107.58395226221307
2.0,90.0,4.24,-18.4,-169.1169482329147
2.0,90.0,4.56,-16.9,-91.92145275019345
2.0,90.0,4.88,-16.37,0.6480541491110218
2.0,90.0,5.2,-18.07,77.92719933754162
2.0,90.0,5.52,-18.05,174.65995950093625
2.0,90.0,5.84,-19.24,-86.36744884002026
2.0,90.0,6.16,-19.5,1.0130558836962065
2.0,90.0,6.48,-21.4,104.51369299091279
2.0,90.0,6.8,-20.14,-157.4439766626951
2.0,90.0,7.12,-20.77,-67.44893818518017
2.0,90.0,7.44,-20.47,23.078959809874483
2.0,90.0,7.76,-21.43,109.12633083303122
2.0,90.0,8.08,-20.46,-153.8030402930233
2.0,90.0,8.4,-21.27,-68.13773324038651
2.0,90.0,8.72,-22.99,26.811102273789967
2.0,90.0,9.04,-23.1,117.99767916444507
2.0,90.0,9.36,-23.96,-149.6378837466508
2.0,90.0,9.68,-25.84,-55.4489323595551
2.0,90.0,10.0,-25.1,34.30294834496318
2.0,90.0,10.32,-25.29,118.60344855112605
2.0,90.0,10.64,-25.95,-151.2748526911583
2.0,90.0,10.96,-25.32,-65.01695740868578
2.0,90.0,11.28,-25.89,9.349979736982611
2.0,90.0,11.6,-27.01,97.18679618990782
2.0,90.0,11.92,-27.16,-179.59722321815684
2.0,90.0,12.24,-28.25,-102.4201545635406
2.0,90.0,12.56,-29.44,-23.566019430348437
2.0,90.0,12.88,-34.49,55.44436264036305
2.0,90.0,13.2,-32.17,159.69364953300177
2.0,90.0,13.52,-32.52,-129.23600172428553
2.0,90.0,13.84,-32.52,-46.27895486103925
2.0,90.0,14.16,-30.74,17.251827449214588
2.0,90.0,14.48,-33.11,-51.8553801617216
2.0,90.0,14.8,-28.24,-156.77760017946852
2.0,90.0,15.12,-27.11,-116.57829661945308
2.0,90.0,15.44,-27.41,-62.24776646151575
2.0,90.0,15.76,-27.98,-11.98252136676786
2.0,90.0,16.08,-27.47,41.851272028801084
2.0,90.0,16.4,-30.33,91.57387935144192
2.0,90.0,16.72,-30.84,119.92810074618862
2.0,90.0,17.04,-33.18,160.90244954631132
2.0,90.0,17.36,-38.04,-157.33786646624344
2.0,90.0,17.68,-42.63,-93.14928778364947
2.0,90.0,18.0,-41.77,-25.636953267375187
3.0,90.0,2.0,-14.29,73.7917055945052
3.0,90.0,2.32,-16.45,88.31770530869532
3.0,90.0,2.64,-18.32,159.37878713543216
3.0,90.0,2.96,-16.98,-142.10852084956437
3.0,90.0,3.28,-19.47,-70.90572899474567
3.0,90.0,3.6,-18.21,6.951343540564135
3.0,90.0,3.92,-17.76,107.13962747501401
3.0,90.0,4.24,-18.49,-169.7769492604001
3.0,90.0,4.56,-16.98,-92.1615484355033
3.0,90.0,4.88,-16.47,0.3393202088885871
3.0,90.0,5.2,-18.06,77.89157540326761
3.0,90.0,5.52,-18.15,174.50420443327866
3.0,90.0,5.84,-19.28,-86.54261016268174
3.0,90.0,6.16,-19.53,0.37074397835450806
3.0,90.0,6.48,-21.47,103.74193602732146
3.0,90.0,6.8,-20.21,-157.78746212661778
3.0,90.0,7.12,-20.84,-67.96072663688017
3.0,90.0,7.44,-20.62,22.74246677513972
3.0,90.0,7.76,-21.46,108.88578961119113
3.0,90.0,8.08,-20.61,-153.64783820231384
3.0,90.0,8.4,-21.33,-68.12006789097482
3.0,90.0,8.72,-23.22,26.381217049175646
3.0,90.0,9.04,-23.24,117.90318445295742
3.0,90.0,9.36,-24.13,-149.64996264157907
3.0,90.0,9.68,-25.88,-54.92256108897815
3.0,90.0,10.0,-25.22,34.43372909671266
3.0,90.0,10.32,-25.48,119.35475002955924
3.0,90.0,10.64,-26.16,-150.89575127467737
3.0,90.0,10.96,-25.51,-64.27461844811101
3.0,90.0,11.28,-26.11,9.783419621084656
3.0,90.0,11.6,-27.25,97.31882124175984
3.0,90.0,11.92,-27.4,-179.48398745927068
3.0,90.0,12.24,-28.51,-101.83329490487704
3.0,90.0,12.56,-29.71,-22.085542691811803
3.0,90.0,12.88,-34.6,56.631110152436925
3.0,90.0,13.2,-32.33,160.71883418499561
3.0,90.0,13.52,-32.77,-129.20498109829185
3.0,90.0,13.84,-32.7,-44.66312609701797
3.0,90.0,14.16,-31.06,17.43675398395708
3.0,90.0,14.48,-33.54,-52.1562561762944
3.0,90.0,14.8,-28.64,-158.03832949919348
3.0,90.0,15.12,-27.63,-117.59560237928575
3.0,90.0,15.44,-27.99,-61.73743531325235
3.0,90.0,15.76,-28.25,-10.704200528674281
3.0,90.0,16.08,-27.84,44.32135674010982
3.0,90.0,16.4,-30.59,93.11240479293274
3.0,90.0,16.72,-31.49,122.68781162877217
3.0,90.0,17.04,-33.99,164.50773811387745
3.0,90.0,17.36,-38.84,-153.4096188566243
3.0,90.0,17.68,-43.1,-88.29005335996094
3.0,90.0,18.0,-42.37,-20.266739326913466
4.0,90.0,2.0,-14.28,73.92909589234779
4.0,90.0,2.32,-16.46,88.49310142268217
4.0,90.0,2.64,-18.4,159.42909166034028
4.0,90.0,2.96,-16.88,-141.79903790162138
4.0,90.0,3.28,-19.5,-70.79731530373631
4.0,90.0,3.6,-18.27,7.552074287314765
4.0,90.0,3.92,-17.77,106.84934100456556
4.0,90.0,4.24,-18.51,-170.11687001240205
4.0,90.0,4.56,-17.05,-92.21306661031002
4.0,90.0,4.88,-16.53,0.4304023825613739
4.0,90.0,5.2,-18.12,78.05618917849615
4.0,90.0,5.52,-18.29,174.63854249330168
4.0,90.0,5.84,-19.39,-86.21472400119605
4.0,90.0,6.16,-19.61,0.40866435821427105
4.0,90.0,6.48,-21.55,103.85999254300675
4.0,90.0,6.8,-20.3,-157.69255709373982
4.0,90.0,7.12,-20.94,-67.48928957296735
4.0,90.0,7.44,-20.81,22.894007516147692
4.0,90.0,7.76,-21.68,109.41256632484169
4.0,90.0,8.08,-20.8,-153.2697344308185
4.0,90.0,8.4,-21.55,-68.10536955165594
4.0,90.0,8.72,-23.31,25.469503975868577
4.0,90.0,9.04,-23.38,117.30811733410812
4.0,90.0,9.36,-24.3,-150.82399493288443
4.0,90.0,9.68,-26.11,-54.40725999082248
4.0,90.0,10.0,-25.48,35.41138709133836
4.0,90.0,10.32,-25.7,119.71111546518289
4.0,90.0,10.64,-26.34,-151.05336515963083
4.0,90.0,10.96,-25.78,-64.26918079374464
4.0,90.0,11.28,-26.38,9.698101309090987
4.0,90.0,11.6,-27.64,98.277493420953
4.0,90.0,11.92,-27.69,-178.63873157628186
4.0,90.0,12.24,-28.85,-101.13392567210784
4.0,90.0,12.56,-30.13,-21.653890008386163
4.0,90.0,12.88,-35.04,58.2120925069513
4.0,90.0,13.2,-32.63,162.37476714304154
4.0,90.0,13.52,-33.02,-128.47211171185634
4.0,90.0,13.84,-33.14,-44.78061641474436
4.0,90.0,14.16,-31.48,17.89039523306856
4.0,90.0,14.48,-33.83,-51.90365424415279
4.0,90.0,14.8,-29.03,-157.111861233987
4.0,90.0,15.12,-28.15,-116.54852736183173
4.0,90.0,15.44,-28.59,-60.7503452062678
4.0,90.0,15.76,-29.21,-8.54379224826445
4.0,90.0,16.08,-28.79,45.89986091037653
4.0,90.0,16.4,-31.54,95.8932230289499
4.0,90.0,16.72,-32.28,124.64815236079617
4.0,90.0,17.04,-35.01,165.53659819269203
4.0,90.0,17.36,-40.02,-148.49821713380112
4.0,90.0,17.68,-44.6,-81.55039815700933
4.0,90.0,18.0,-43.13,-9.255438229735368
5.0,90.0,2.0,-14.7,68.62440263257601
5.0,90.0,2.32,-16.48,88.52454886893679
5.0,90.0,2.64,-18.45,159.26962819124626
5.0,90.0,2.96,-16.83,-141.48647003149836
5.0,90.0,3.28,-19.51,-70.28702792098116
5.0,90.0,3.6,-18.35,7.744469936458025
5.0,90.0,3.92,-17.86,106.48662083914972
5.0,90.0,4.24,-18.53,-170.33836495915986
5.0,90.0,4.56,-17.14,-92.1759544991075
5.0,90.0,4.88,-16.57,0.3106644616763181
5.0,90.0,5.2,-18.21,78.17827796776139
5.0,90.0,5.52,-18.43,174.6785079397342
5.0,90.0,5.84,-19.52,-86.35734521115933
5.0,90.0,6.16,-19.7,0.4940390623344662
5.0,90.0,6.48,-21.69,103.93261445443167
5.0,90.0,6.8,-20.43,-157.87348953194555
5.0,90.0,7.12,-21.12,-67.33931929414295
5.0,90.0,7.44,-20.99,22.501946865170478
5.0,90.0,7.76,-21.92,109.47818945096473
5.0,90.0,8.08,-21.0,-153.26562696375757
5.0,90.0,8.4,-21.82,-67.95589304400978
5.0,90.0,8.72,-23.4,25.940509456678125
5.0,90.0,9.04,-23.65,118.01295746126887
5.0,90.0,9.36,-24.58,-150.01774920944527
5.0,90.0,9.68,-26.37,-53.73532343625525
5.0,90.0,10.0,-25.82,36.32623103961938
5.0,90.0,10.32,-26.09,119.90321661610811
5.0,90.0,10.64,-26.67,-150.82891638442678
5.0,90.0,10.96,-26.2,-63.5620526052464
5.0,90.0,11.28,-26.75,10.8706145233077
5.0,90.0,11.6,-28.16,98.93353183812879
5.0,90.0,11.92,-28.22,-177.93530655579684
5.0,90.0,12.24,-29.33,-99.74150462616005
5.0,90.0,12.56,-30.66,-19.712783739368337
5.0,90.0,12.88,-35.32,60.069690459196
5.0,90.0,13.2,-32.91,163.0046642471316
5.0,90.0,13.52,-33.47,-126.98105752385064
5.0,90.0,13.84,-33.61,-44.026364327418335
5.0,90.0,14.16,-31.94,18.181529683939875
5.0,90.0,14.48,-34.51,-51.05920498295898
5.0,90.0,14.8,-29.86,-156.45037868884674
5.0,90.0,15.12,-28.96,-115.43511238255084
5.0,90.0,15.44,-29.52,-59.42177689043466
5.0,90.0,15.76,-29.99,-7.365159995223783
5.0,90.0,16.08,-29.85,48.57212896576101
5.0,90.0,16.4,-32.77,98.7928502058645
5.0,90.0,16.72,-33.65,128.5273355544683
5.0,90.0,17.04,-36.44,172.06538192040975
5.0,90.0,17.36,-41.64,-138.39111151605482
5.0,90.0,17.68,-46.04,-67.57797914776081
5.0,90.0,18.0,-44.39,2.6261381845449656
6.0,90.0,2.0,-14.35,74.50082560778866
6.0,90.0,2.32,-16.48,88.57818214033709
6.0,90.0,2.64,-18.51,159.09616782597257
6.0,90.0,2.96,-16.77,-141.22429425094953
6.0,90.0,3.28,-19.54,-69.71776284183704
6.0,90.0,3.6,-18.41,7.930826306237348
6.0,90.0,3.92,-17.93,106.23696696194311
6.0,90.0,4.24,-18.54,-170.46844734048258
6.0,90.0,4.56,-17.25,-91.72035564024648
6.0,90.0,4.88,-16.63,0.7504089722449435
6.0,90.0,5.2,-18.32,78.58990546439553
6.0,90.0,5.52,-18.54,175.41976783883823
6.0,90.0,5.84,-19.66,-85.65367006827967
6.0,90.0,6.16,-19.78,1.4589269305604189
6.0,90.0,6.48,-21.89,104.61616674168106
6.0,90.0,6.8,-20.57,-157.2397149525632
6.0,90.0,7.12,-21.35,-66.73384169831253
6.0,90.0,7.44,-21.16,22.617905793669777
6.0,90.0,7.76,-22.16,109.59375677269459
6.0,90.0,8.08,-21.23,-152.63415837930884
6.0,90.0,8.4,-22.06,-68.16419414568436
6.0,90.0,8.72,-23.69,25.363104930837903
6.0,90.0,9.04,-23.98,117.8585585551213
6.0,90.0,9.36,-24.96,-149.85101704736041
6.0,90.0,9.68,-26.68,-53.611606723387915
6.0,90.0,10.0,-26.22,35.56711893935341
6.0,90.0,10.32,-26.5,119.12521899947643
6.0,90.0,10.64,-27.07,-151.19536414813504
6.0,90.0,10.96,-26.65,-63.588667955598595
6.0,90.0,11.28,-27.35,11.42775795392282
6.0,90.0,11.6,-28.7,98.7845584114816
6.0,90.0,11.92,-28.83,-176.40913607304137
6.0,90.0,12.24,-29.97,-98.11785553226709
6.0,90.0,12.56,-31.34,-17.35941404690507
6.0,90.0,12.88,-35.84,63.487469580862935
6.0,90.0,13.2,-33.35,166.35190969649292
6.0,90.0,13.52,-33.98,-125.45023522919118
6.0,90.0,13.84,-34.06,-42.5240635253059
6.0,90.0,14.16,-32.61,18.988671023464974
6.0,90.0,14.48,-35.24,-50.36672084172579
6.0,90.0,14.8,-30.7,-156.14874662811306
6.0,90.0,15.12,-30.12,-114.24437837265836
6.0,90.0,15.44,-30.76,-57.17529981290004
6.0,90.0,15.76,-31.43,-4.309246048727492
6.0,90.0,16.08,-31.22,51.12151387692845
6.0,90.0,16.4,-34.29,102.85141740100441
6.0,90.0,16.72,-35.29,134.43507364209154
6.0,90.0,17.04,-38.28,-179.80302396505496
6.0,90.0,17.36,-43.33,-129.8019380185586
6.0,90.0,17.68,-46.92,-53.44873181122987
6.0,90.0,18.0,-44.78,20.947001338829033
7.0,90.0,2.0,-14.44,74.88240320820725
7.0,90.0,2.32,-16.51,88.51655621755633
7.0,90.0,2.64,-18.59,158.9273249679789
7.0,90.0,2.96,-16.77,-140.80829257156086
7.0,90.0,3.28,-19.64,-69.14622906000155
7.0,90.0,3.6,-18.5,8.135579027829834
7.0,90.0,3.92,-18.03,106.07770425229536
7.0,90.0,4.24,-18.52,-170.45486510066542
7.0,90.0,4.56,-17.37,-91.95490699335346
7.0,90.0,4.88,-16.71,0.6469476061920836
7.0,90.0,5.2,-18.44,78.37647780794327
7.0,90.0,5.52,-18.67,175.51355672443995
7.0,90.0,5.84,-19.81,-85.95609862444046
7.0,90.0,6.16,-19.95,1.3132509975968598
7.0,90.0,6.48,-22.13,103.9422963951251
7.0,90.0,6.8,-20.8,-157.5050586547035
7.0,90.0,7.12,-21.61,-66.97755335929381
7.0,90.0,7.44,-21.4,22.50077896550971
7.0,90.0,7.76,-22.38,109.61016613120859
7.0,90.0,8.08,-21.51,-151.73087832088052
7.0,90.0,8.4,-22.39,-67.58955703311796
7.0,90.0,8.72,-23.96,25.727232784029283
7.0,90.0,9.04,-24.36,118.67315823968
7.0,90.0,9.36,-25.37,-149.37623743830457
7.0,90.0,9.68,-27.15,-52.812021586004946
7.0,90.0,10.0,-26.68,36.977274704988226
7.0,90.0,10.32,-27.02,120.29878665006393
7.0,90.0,10.64,-27.61,-150.36469403430684
7.0,90.0,10.96,-27.22,-62.567855774049654
7.0,90.0,11.28,-27.91,12.486572361926553
7.0,90.0,11.6,-29.37,99.58039577128106
7.0,90.0,11.92,-29.55,-174.70992584355753
7.0,90.0,12.24,-30.75,-95.30865728861892
7.0,90.0,12.56,-32.12,-14.607992601808931
7.0,90.0,12.88,-36.46,66.84768609815248
7.0,90.0,13.2,-33.84,168.72581653798312
7.0,90.0,13.52,-34.53,-123.2677443243845
7.0,90.0,13.84,-34.73,-40.49688202076917
7.0,90.0,14.16,-33.28,20.43261674943788
7.0,90.0,14.48,-36.1,-49.848184048595684
7.0,90.0,14.8,-31.85,-154.6485394436957
7.0,90.0,15.12,-31.33,-111.78658307015213
7.0,90.0,15.44,-32.18,-54.417768644647
7.0,90.0,15.76,-32.99,0.23693911470606294
7.0,90.0,16.08,-32.91,56.99904316064961
7.0,90.0,16.4,-36.02,109.28224902711118
7.0,90.0,16.72,-37.09,142.1582248601395
7.0,90.0,17.04,-40.32,-165.9849989148351
7.0,90.0,17.36,-45.14,-109.05505586567608
7.0,90.0,17.68,-48.27,-31.8705832934991
7.0,90.0,18.0,-45.05,36.54885025869853
8.0,90.0,2.0,-14.52,75.22675616682949
8.0,90.0,2.32,-16.53,88.4578109348255
8.0,90.0,2.64,-18.65,158.70917153368967
8.0,90.0,2.96,-16.78,-140.4420986455361
8.0,90.0,3.28,-19.78,-68.62812716719854
8.0,90.0,3.6,-18.62,8.371404796951815
8.0,90.0,3.92,-18.11,106.47532017837369
8.0,90.0,4.24,-18.51,-170.33894697895857
8.0,90.0,4.56,-17.49,-92.38727717782324
8.0,90.0,4.88,-16.83,0.9294005379174248
8.0,90.0,5.2,-18.56,78.52048721329749
8.0,90.0,5.52,-18.82,175.64797244035742
8.0,90.0,5.84,-19.99,-85.91154793456771
8.0,90.0,6.16,-20.17,1.3468741290122945
8.0,90.0,6.48,-22.33,104.0720798365875
8.0,90.0,6.8,-21.04,-157.35647806390563
8.0,90.0,7.12,-21.85,-66.79897079592682
8.0,90.0,7.44,-21.66,22.894941941198155
8.0,90.0,7.76,-22.61,110.64867261886279
8.0,90.0,8.08,-21.88,-150.86740939935706
8.0,90.0,8.4,-22.77,-67.37779170679012
8.0,90.0,8.72,-24.32,26.694969059432015
8.0,90.0,9.04,-24.79,119.55465305676712
8.0,90.0,9.36,-25.91,-148.18505782081593
8.0,90.0,9.68,-27.64,-51.954605258546685
8.0,90.0,10.0,-27.24,38.08715781304996
8.0,90.0,10.32,-27.57,121.63516475727803
8.0,90.0,10.64,-28.21,-149.4989756018107
8.0,90.0,10.96,-27.78,-62.03612919124685
8.0,90.0,11.28,-28.72,13.978094866774352
8.0,90.0,11.6,-30.16,101.55405853676255
8.0,90.0,11.92,-30.35,-172.45995297333496
8.0,90.0,12.24,-31.66,-92.5375534719697
8.0,90.0,12.56,-33.02,-10.57901981114841
8.0,90.0,12.88,-37.16,70.82845665897598
8.0,90.0,13.2,-34.43,171.4335521027903
8.0,90.0,13.52,-35.14,-121.33489465646417
8.0,90.0,13.84,-35.58,-38.81043882736905
8.0,90.0,14.16,-34.18,20.925089728964473
8.0,90.0,14.48,-37.04,-47.282479203355166
8.0,90.0,14.8,-32.99,-153.12166333346545
8.0,90.0,15.12,-32.95,-109.71260345611476
8.0,90.0,15.44,-33.78,-50.35010736687308
8.0,90.0,15.76,-34.62,5.90169269208302
8.0,90.0,16.08,-34.84,64.47474966903523
8.0,90.0,16.4,-38.04,118.22488829658035
8.0,90.0,16.72,-39.39,157.05906038043167
8.0,90.0,17.04,-42.22,-147.11621154486448
8.0,90.0,17.36,-46.12,-87.89189004619449
8.0,90.0,17.68,-47.95,-11.899073744807826
8.0,90.0,18.0,-44.98,50.791437659523005
9.0,90.0,2.0,-14.62,75.5430902689379
9.0,90.0,2.32,-16.58,88.39410844110343
9.0,90.0,2.64,-18.69,158.45868672
9.0,90.0,2.96,-16.82,-137.47146611065287
9.0,90.0,3.28,-19.93,-68.06478768146343
9.0,90.0,3.6,-18.79,8.488563017480233
9.0,90.0,3.92,-18.24,107.19479951979196
9.0,90.0,4.24,-18.57,-170.41228417596372
9.0,90.0,4.56,-17.64,-92.632922789608
9.0,90.0,4.88,-16.97,0.853446950957733
9.0,90.0,5.2,-18.71,78.62255376948708
9.0,90.0,5.52,-19.03,175.821993045407
9.0,90.0,5.84,-20.18,-86.00143934125929
9.0,90.0,6.16,-20.41,1.4808099521522828
9.0,90.0,6.48,-22.57,104.25368290791356
9.0,90.0,6.8,-21.35,-157.2492089715655
9.0,90.0,7.12,-22.21,-66.67395317488342
9.0,90.0,7.44,-21.99,22.729072374245014
9.0,90.0,7.76,-22.93,111.28858348054227
9.0,90.0,8.08,-22.31,-150.0487156957594
9.0,90.0,8.4,-23.15,-67.06766135361289
9.0,90.0,8.72,-24.78,27.452230706726464
9.0,90.0,9.04,-25.26,120.88137286188609
9.0,90.0,9.36,-26.51,-147.40052911044674
9.0,90.0,9.68,-28.13,-50.51060751146578
9.0,90.0,10.0,-27.84,40.604878085716734
9.0,90.0,10.32,-28.15,123.67013240675419
9.0,90.0,10.64,-28.84,-147.85237330711672
9.0,90.0,10.96,-28.6,-59.71043377546821
9.0,90.0,11.28,-29.56,15.471721680785226
9.0,90.0,11.6,-31.02,104.00819310893093
9.0,90.0,11.92,-31.39,-170.17081080618266
9.0,90.0,12.24,-32.54,-87.81769728094424
9.0,90.0,12.56,-33.97,-6.280122556234491
9.0,90.0,12.88,-37.89,76.09337007515306
9.0,90.0,13.2,-34.99,174.26369919503495
9.0,90.0,13.52,-36.0,-118.19408683506812
9.0,90.0,13.84,-36.47,-36.53041670683817
9.0,90.0,14.16,-35.21,22.959760126355622
9.0,90.0,14.48,-38.47,-45.54917700982709
9.0,90.0,14.8,-34.61,-150.44116503916837
9.0,90.0,15.12,-34.62,-106.39471923167855
9.0,90.0,15.44,-35.64,-44.09501722186901
9.0,90.0,15.76,-36.93,13.592501055028023
9.0,90.0,16.08,-37.27,73.62273800533441
9.0,90.0,16.4,-40.27,132.1450442250198
9.0,90.0,16.72,-41.55,176.55793254296236
9.0,90.0,17.04,-43.5,-123.5949474638719
9.0,90.0,17.36,-46.1,-66.9314307720642
9.0,90.0,17.68,-47.75,5.960342316460696
9.0,90.0,18.0,-44.04,67.96777541617644
10.0,90.0,2.0,-14.73,75.71174382402455
10.0,90.0,2.32,-16.63,88.1514420446481
10.0,90.0,2.64,-18.74,158.2548488150541
10.0,90.0,2.96,-16.83,-137.45961420123632
10.0,90.0,3.28,-20.13,-67.41877049796364
10.0,90.0,3.6,-18.92,8.523401107103856
10.0,90.0,3.92,-18.39,107.88280530062463
10.0,90.0,4.24,-18.73,-170.44527954871714
10.0,90.0,4.56,-17.77,-92.5858698298464
10.0,90.0,4.88,-17.13,0.6223004515749729
10.0,90.0,5.2,-18.91,78.83862830947618
10.0,90.0,5.52,-19.3,176.16547637546068
